['22003360', '22003428', '21009306', '22003468', '22003494']
['22003360', '22003428', '11012002', '22003468', '22003494']
['22003360', '22003428', '21012001', '22003468', '22003494']
['22003360', '22003429', '21009306', '22003468', '22003494']
['22003360', '22003429', '11012002', '22003468', '22003494']
['22003360', '22003429', '21012001', '22003468', '22003494']
['22003428', '22003429', '21009306', '22003468', '22003494']
['22003428', '22003429', '11012002', '22003468', '22003494']
['22003428', '22003429', '21012001', '22003468', '22003494']
